,廠名,地址,電話,星評,緯度,經度
48,TOYOTA 平鎮服務廠,324桃園市平鎮區中豐路南勢二段92號,03 439 9911,4.3,24.9175449,121.2105516
49,TOYOTA 龜山服務廠,333桃園市龜山區長壽路479號,03 350 6685,4.5,24.99724,121.3342419
50,TOYOTA 南新竹服務廠,300新竹市香山區經國路三段123號,03 530 3355,4.6,24.7970969,120.9528977
51,TOYOTA 南崁服務廠,338桃園市蘆竹區南崁路一段101號,03 321 7575,4.4,25.0516947,121.2876479
52,TOYOTA 大崗服務廠,333桃園市龜山區文化三路358號,03 396 1355,4.6,25.0549725,121.3658887
53,TOYOTA 桃鶯服務廠,330桃園市桃園區桃鶯路445號,03 371 2255,4.4,24.976604,121.323224
54,TOYOTA 桃大服務廠,334桃園市八德區中華路230號,03 378 0022,4.4,24.9831318,121.2773573
55,TOYOTA 大園服務廠,337桃園市大園區國際路一段75號,03 386 1996,4.3,25.0670219,121.1866646
56,TOYOTA 新豐服務廠,303新竹縣湖口鄉新興路458-51號,03 559 6799,4.8,24.8745076,121.004592
57,TOYOTA 大溪保修站,335桃園市大溪區中華路288號,03 388 1515,4.9,24.8779972,121.2924304
58,TOYOTA 春日保修站,330桃園市桃園區春日路1290號,03 317 5599,5,25.025128,121.306528
59,TOYOTA 雙連坡保修站,324桃園市平鎮區民族路雙連二段216-1號,03 490 0088,5,24.9589369,121.1806879
60,TOYOTA 南台中服務廠,402台中市南區復興路一段369號,04 2263 9151,4,24.1149595,120.6546763
61,TOYOTA 中台中服務廠,407台中市西屯區龍富路五段273號,04 2252 0011,4.2,24.1588855,120.629217
62,TOYOTA 潭子服務廠,427台中市潭子區中山路一段285號,04 2533 4185,4,24.1995375,120.7029582
63,TOYOTA 員林營業所,515彰化縣大村鄉中山路二段308號,04 852 5812,4.2,23.9919552,120.5626444
64,TOYOTA 草屯服務廠,542南投縣草屯鎮中正路1203號,04 9232 3801,4.3,23.9925136,120.6880294
65,TOYOTA 彰化服務廠,503彰化縣花壇鄉中山路二段803號,04 761 6191,4.2,24.0515587,120.5331529
66,TOYOTA 大甲服務廠,437台中市大甲區中山路一段1136號,04 2687 7289,4.1,24.3555831,120.6326362
67,TOYOTA 竹山服務廠,557南投縣竹山鎮集山路三段290號,04 9265 3701,4.2,23.7633682,120.6999768
68,TOYOTA 北台中服務廠,404台中市北區太原路三段39號,04 2237 8525,4.2,24.1653929,120.6866445
69,TOYOTA 豐原服務廠,420台中市豐原區豐勢路二段103號,04 2528 7541,4.4,24.2621057,120.7383438
70,TOYOTA 溪湖服務廠,514彰化縣溪湖鎮員鹿路二段279號,04 885 5141,4,23.955125,120.4891552
71,TOYOTA 東台中服務廠,401台中市東區進化路190號號,04 2211 5360,4.2,24.147036,120.694575
72,TOYOTA 鹿港服務廠,506彰化縣福興鄉彰鹿路七段496號,04 776 0525,4.1,24.0480842,120.4449541
73,TOYOTA 文雅服務廠,406台中市北屯區文心路三段999號,04 2291 8429,4.1,24.1738213,120.6697763
74,TOYOTA 埔里營業所,545南投縣埔里鎮信義路1100號,04 9291 0773,4.4,23.9705507,120.9543116
75,TOYOTA 北彰化營業所,500彰化縣彰化市彰南路一段190號,04 737 3705,4.2,24.0867883,120.569903
76,TOYOTA 南投服務廠,540南投縣南投市南崗三路270號,04 9226 2800,4.3,23.9347622,120.6658071
77,TOYOTA 沙鹿服務廠,435台中市梧棲區台灣大道八段333號,04 2657 8852,4.2,24.2445434,120.550445
78,TOYOTA 北斗服務廠,522彰化縣田尾鄉中山路一段326號,04 883 4429,4.1,23.8890809,120.5259149
79,TOYOTA 東海營業所,407台中市西屯區工業區二路2號,04 2359 9812,4.2,24.1703116,120.6126605
80,TOYOTA 二林服務廠,526彰化縣二林鎮吉昌二街115號,04 895 0121,4.3,23.898646,120.3775708
81,TOYOTA 大雅營業所,428台中市大雅區中清路三段827號,04 2567 9933,4.3,24.2146025,120.6493629
82,TOYOTA 北豐原服務廠,420台中市豐原區豐原大道一段658號,04 2531 2888,4.5,24.2387037,120.7029235
83,TOYOTA 太平服務廠,406台中市太平區太平路741號,04 2270 0750,4.2,24.127792,120.709012
84,TOYOTA 大里服務廠,412台中市大里區中興路二段83號,04 2483 7023,4.2,24.1006847,120.6877143
85,TOYOTA 五權服務廠,403台中市西區五權西路一段228號,04 2378 2388,4.1,24.140226,120.6564587
86,TOYOTA豐原保修站,420台中市豐原區中正路539號,04 2520 9799,4.5,24.2501986,120.7099188
87,TOYOTA中清保修站,407台中市西屯區中清路二段1285號,04 3704 5258,4.1,24.1943554,120.6586552
88,TOYOTA 北台南服務廠,710台南市永康區中正南路214號,06 253 7866,4.2,23.0253795,120.220609
89,TOYOTA 民雄營業所,621嘉義縣民雄鄉中山路2-2號,05 221 9311,4.3,23.5190985,120.440815
90,TOYOTA 斗南營業所,630雲林縣斗南鎮延平路二段87號,05 597 1191,4.3,23.6818146,120.4814625
91,TOYOTA 東台南服務廠,701台南市東區中華東路三段65號,06 269 7526,4.3,22.9797741,120.2285177
92,TOYOTA 新營營業所,730台南市新營區長榮路二段1077號,06 656 5136,4.1,23.309787,120.2963088
93,TOYOTA 西台南營業所,708台南市安平區永華路二段868號,06 298 9191,4.1,22.9916792,120.1678022
94,TOYOTA 北港營業所,651雲林縣北港鎮華勝路356號,05 783 7833,4.3,23.581711,120.2989048
95,TOYOTA 佳里服務廠,722台南市佳里區民安里同安寮72之8號,06 723 3002,4.1,23.1658579,120.1928223
96,TOYOTA 嘉義服務廠,600嘉義市西區博愛路二段299號,05 233 0555,4,23.4778109,120.4366718
97,TOYOTA 斗六服務廠,640雲林縣斗六市明德北路三段280號,05 534 6511,4.3,23.7063728,120.5290134
98,TOYOTA 歸仁服務廠,711台南市歸仁區中山路三段313號,06 239 5999,4.2,22.967991,120.280179
99,TOYOTA 永大服務廠,710台南市永康區永大路三段302號,06 201 4689,3.9,23.0321624,120.2601223
100,TOYOTA 朴子營業所,613嘉義縣朴子市1285 號,05 370 6366,4.2,23.4643944,120.2643242
101,TOYOTA 官田營業所,720台南市官田區南?里南?1之5號,06 579 3158,4.4,23.211963,120.3048407
102,TOYOTA 崙背營業所,637雲林縣崙背鄉南昌路533號,05 696 8566,4.4,23.7693343,120.3600987
103,TOYOTA 善化服務廠,741台南市善化區興農路35號,06 581 8351,3.9,23.1324121,120.2814333
104,TOYOTA 南嘉義營業所&服務廠,600嘉義市東區世賢路四段432號,05 223 1066,4.3,23.4647828,120.4524997
105,TOYOTA 虎尾營業所,632雲林縣虎尾鎮頂南路300號,05 632 5811,4.1,23.6916955,120.4176098
106,TOYOTA 安南服務廠,709台南市安南區海佃路二段155號,06 247 5968,4.2,23.0341306,120.1891925
107,TOYOTA 永成保修站,702台南市南區中華南路二段11號,06 262 9008,4.6,22.9620368,120.1951889
108,TOYOTA 北高雄服務廠,807高雄市三民區民族一路558號,07 385 0161,4.1,22.6573495,120.3158511
109,TOYOTA 岡山服務廠,820高雄市岡山區岡山路620號,07 621 7171,4.2,22.8040672,120.2896905
110,TOYOTA 屏東營業所,900屏東縣屏東市和生路二段598號,08 753 6981,4.4,22.65588,120.467407
111,TOYOTA 旗山營業所,842高雄市旗山區旗南二路88號,07 666 3006,4.3,22.8496872,120.4662534
112,TOYOTA 潮州營業所,920屏東縣潮州鎮介壽路164號,08 789 8801,4.2,22.541601,120.5350744
113,TOYOTA 小港營業所,812高雄市小港區大業北路27號,07 803 7221,4.3,22.5648853,120.3461547
114,TOYOTA 九如服務廠,807高雄市三民區九如三路271號,07 323 1071,4.1,22.6439119,120.2852451
115,TOYOTA 鳳山服務廠,830高雄市鳳山區建國路一段410號,07 740 1101,4.1,22.6349835,120.3667721
116,TOYOTA 湖內營業所,829高雄市湖內區中山路二段60號,07 699 5151,4.4,22.9035588,120.2309951
117,TOYOTA 北屏東服務廠,900屏東縣屏東市中山路210號,08 765 1551,4.3,22.6846913,120.484606
118,TOYOTA 青年營業所,800高雄市新興區青年一路328號,07 282 7181,4.2,22.6214311,120.3059689
119,TOYOTA 楠梓服務廠,811高雄市楠梓區楠陽路139號,07 352 0501,4.3,22.7232361,120.3291412
120,TOYOTA 瑞豐服務廠,806高雄市前鎮區保泰路431號,07 721 2161,4.2,22.6043251,120.3361937
121,TOYOTA 右昌服務廠,811高雄市楠梓區右昌街419號,07 366 0511,4.1,22.7159208,120.287921
122,TOYOTA 麟洛服務廠,909屏東縣麟洛鄉民生路303號號,08 722 1211,4.2,22.6520699,120.5442275
123,TOYOTA 東港服務廠,928屏東縣東港鎮東新路20號,08 835 4321,4.3,22.4725708,120.4643171
124,TOYOTA 里港服務廠,904屏東縣九如鄉九如路三段415-1號,08 775 8511,4.4,22.7518181,120.4912137
125,TOYOTA 鳳林營業所,831高雄市大寮區力行路197號,07 782 7271,4.2,22.6051445,120.3970265
126,TOYOTA 恆春服務廠,946屏東縣恆春鎮省北路261號,08 889 7171,4.2,22.0151814,120.7436455
127,TOYOTA 三多營業所,802高雄市苓雅區三多二路91號,07 715 1551,4.2,22.6204846,120.3251123
128,TOYOTA 仁武保修站,81455高雄市仁武區八德南路228號,07 375 8118,4.9,22.6826919,120.3395038
129,TOYOTA 路竹保修站,821高雄市路竹區中山路1459號,07 696 6061,5,22.8490142,120.2626934
130,TOYOTA 羅東服務廠,268宜蘭縣五結鄉中正路三段138號,03 965 8888,4.2,24.7061181,121.771497
131,TOYOTA 宜蘭展示中心＆服務廠,260宜蘭縣宜蘭市中山路五段276號,03 928 6699,4.3,24.774463,121.7583503
132,TOYOTA 花蓮營業所,973花蓮縣吉安鄉中央路三段500號,03 856 5658,4.4,23.9872559,121.5882958
133,TOYOTA 台東服務廠,950台東縣台東市大仁路3號,08 934 6811,4.3,22.7571984,121.1331025
134,TOYOTA 玉里服務廠,981花蓮縣玉里鎮中山路一段94號,03 888 1675,4.5,23.3284809,121.3169175
135,TOYOTA商用車東部營業所,970花蓮縣花蓮市精美路33號,03 823 9028,4.4,24.0173026,121.6258555
136,TOYOTA鳳林保修站,975花蓮縣鳳林鎮中正路一段305巷12-5號,03 876 1886,4.7,23.7386855,121.4453933
